boundary_sink_scale,candidate_label,family,T_K,burnup_FIMA_percent,dt_h,n_modes,time_s,burnup_from_time_percent,Dg,D1_Xe,D2_Xe_scaled,D3_Xe,tau_boundary_unscaled_h,tau_boundary_scaled_h,generated,matrix_percent,bulk_percent,dislocation_percent,qgb_percent,balance_sum_percent,gas_balance_rel_error,intra_bulk_fraction_no_qgb,intra_dislocation_fraction_no_qgb,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Rb_nm,Rd_nm,Nb,Nd,p_b_over_eq,p_d_over_eq,max_f_cap_step,capture_fraction_sum,bulk_anchor_penalty,disl_anchor_penalty,qgb_anchor_penalty,partition_anchor_penalty
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1400.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,1.720711724456542e-19,2.56984711400453e-21,2.9449198733515696e-106,1.2821582109204226e-19,5888.3299394230835,inf,9.036573938600274e+25,8.476054501534621,59.70438546724486,30.31858170395457,1.500978327265962,100.00000000000001,1.9011485216333091e-16,0.6061419134254397,0.30780591714594857,0.8056725371803436,0.6819557868631023,1.487628324043446,7.485461024080176,51.00181683741121,4.5857913494523373e+21,1.2271867795527903e+19,1.0131178466318393,2.709173001625036,3.2547736477010004e-05,0.027787590076293757,1.4876867161384948,0.0,0.0,1.4876867161384948
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,7.33571673864993e-19,4.2934800659537927e-19,4.895151025154585e-105,1.2821582109204226e-19,1381.203599486108,inf,9.036573938600274e+25,2.7388649338625557,50.64425408462164,45.11590265424967,1.5009783272661332,100.00000000000001,0.0,0.5141599705719798,0.4580340178824181,0.8652290782531054,2.8517512867781125,3.716980365031218,10.465098586925775,101.23061823047986,1.8022395887040743e+21,6.562772799305129e+18,1.0007241815130143,1.6392724535430352,0.00012612912793921816,0.13341780775689227,3.3259414870521775,0.0,0.0,3.3259414870521775
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1700.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,4.8167323632717555e-18,3.532824850314724e-18,3.946714695915007e-104,1.2821582109204226e-19,210.3525294760525,inf,9.036573938600274e+25,0.6229881297967519,30.867418549881904,67.00861499305603,1.5009783272653348,100.00000000000001,1.9011485216333091e-16,0.31337792016289895,0.6802972644306431,0.693723671826729,6.356885807203493,7.050609479030221,15.491234265044607,189.98593512052872,4.4549192876729454e+20,2.2130511316206674e+18,1.0004756595184663,2.081899174830768,0.0003378695279209627,0.39324374775184573,9.873245485120075,0.0,0.0,9.873245485120075
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1800.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,3.042955372416583e-17,2.3000292344816836e-17,3.978758947397585e-103,1.2821582109204226e-19,33.296966679426816,inf,9.036573938600274e+25,0.13196719043026683,11.193550172673751,87.17350430962912,1.5009783272668935,100.00000000000003,1.9011485216333091e-16,0.11364123198974262,0.8850189862724374,0.321349249686901,11.227470056057454,11.548819305744356,20.792956732020343,405.63828764814286,8.533750304966536e+19,4.015840672741838e+17,1.0003189394982992,3.388076689246751,0.0008728639983627484,0.9436324044556471,0.0,0.0,0.0,0.0
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2000.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,7.31342189768822e-16,5.557410539509728e-16,5.4060721867612494e-101,1.2821582109204226e-19,1.385414174920847,inf,9.036573938600274e+25,0.006282362970811977,0.5860590882761278,97.90668022148726,1.500978327265829,100.00000000000003,1.9011485216333091e-16,0.005949897555564825,0.9939863214762172,0.0209409640227541,20.897156338762848,20.9180973027856,24.962381257108223,2022.928221985643,3.214030733971092e+18,6026389012619650.0,1.00024354646742,11.050626720363823,0.004935299358582871,2.892074838593242,0.0,0.08448789909985271,0.24986025849517216,0.3343481575950249
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2200.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,9.901183863882954e-15,7.52543768382339e-15,7.55565243133933e-99,1.2821582109204226e-19,0.1023323928080279,inf,9.036573938600274e+25,0.00046639971026459875,0.042594291324608985,98.45596098169818,1.5009783272669697,100.00000000000001,3.8022970432666183e-16,0.00043243364859125424,0.9995628312819396,0.0017408084147440615,28.27136089451691,28.27310170293166,26.849876728436293,8653.109066017252,2.14701698241556e+17,104169738066578.06,1.0002586178592945,38.28244820065909,0.03174757085546733,5.526931365689543,0.0,0.1194366630702033,0.24986025849500923,0.36929692156521254
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1400.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,1.720711724456542e-19,2.56984711400453e-21,2.9449198733515696e-106,1.2821582109204226e-19,5888.3299394230835,inf,2.628821509410849e+26,2.9788711721398857,84.57690806205449,10.943242438552229,1.500978327253416,100.00000000000003,0.0,0.8586573412175912,0.11110001147940421,3.36222046354779,0.9746700427157166,4.336890506263507,7.698059334997559,58.94993616251296,1.7595184094334952e+22,1.135844792283642e+19,1.0121413650435074,2.0222767691775108,3.2547736477010004e-05,0.03889606041189013,0.19224764291874363,0.0,0.0,0.19224764291874363
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,7.33571673864993e-19,4.2934800659537927e-19,4.895151025154585e-105,1.2821582109204226e-19,1381.203599486108,inf,2.628821509410849e+26,0.9761497896095745,81.3234131597881,16.199458723354027,1.5009783272483055,100.00000000000001,1.3070396086229696e-16,0.825626608048687,0.16446314337186324,4.147264640138644,4.216798922158251,8.364063562296895,10.960752676075419,130.2714898921585,7.518860113222226e+21,4.553508404793175e+18,1.0006768574774814,1.4320458136034724,0.00012612912793921816,0.20850523720922204,0.04908922235845661,0.0,0.0,0.04908922235845661
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1700.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,4.8167323632717555e-18,3.532824850314724e-18,3.946714695915007e-104,1.2821582109204226e-19,210.3525294760525,inf,2.628821509410849e+26,0.23587023475472202,73.05930170648784,25.20384973150619,1.5009783272512593,100.00000000000003,1.3070396086229696e-16,0.7417261660650667,0.25587918847806396,5.170800101468632,10.01116914930809,15.181969250776723,17.434164185101075,307.7102043070577,2.3295162512225374e+21,8.202958119108836e+17,1.0005145255679462,2.2814434304721076,0.0003378695279209627,0.7079824642288212,0.10849110945561756,0.0,0.0,0.10849110945561756
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1800.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,3.042955372416583e-17,2.3000292344816836e-17,3.978758947397585e-103,1.2821582109204226e-19,33.296966679426816,inf,2.628821509410849e+26,0.05856591197286161,59.5595461892076,38.880909571568665,1.5009783272508934,100.00000000000003,2.6140792172459393e-16,0.6046714492970992,0.39473396701081664,6.252231366891651,17.50861969002134,23.76085105691299,28.09300848362126,857.4559764678946,6.732117394759514e+20,6.630217950572809e+16,1.0005231543082325,5.896080017736194,0.0008728639983627484,1.7585132138406123,0.0,0.0,0.0,0.0
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2000.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,7.31342189768822e-16,5.557410539509728e-16,5.4060721867612494e-101,1.2821582109204226e-19,1.385414174920847,inf,2.628821509410849e+26,0.004727921462247867,23.508017009753473,74.98627674153335,1.5009783272509456,100.00000000000001,0.0,0.2386624416215623,0.7612895586990303,5.060794456156362,28.19507529222671,33.25586974838308,59.025030045444105,6006.254174100556,5.875183548158555e+19,310651552863789.7,1.0003400534033275,55.531759521433194,0.004935299358582871,4.8508880484929255,0.0,4.00549118666489,0.24986025849729776,4.255351445162187
0.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2200.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,9.901183863882954e-15,7.52543768382339e-15,7.55565243133933e-99,1.2821582109204226e-19,0.1023323928080279,inf,2.628821509410849e+26,0.00044515431394013627,3.334023444445915,95.16455307398905,1.5009783272511026,100.00000000000001,0.0,0.03384828994061286,0.9661471906813631,1.047580483414146,33.72284581656774,34.770426299981885,81.15494441685668,29666.888687883937,4.679008516146192e+18,3083327108732.8384,1.000111402361254,321.383637241049,0.03174757085546733,8.372683263199129,0.0,0.0002707771415924903,0.24986025849727533,0.25013103563886785
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1400.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,1.720711724456542e-19,2.56984711400453e-21,2.9449198733515696e-106,1.2821582109204226e-19,5888.3299394230835,23553.319757692334,9.036573938600274e+25,8.176852633605847,51.18759941547279,29.186511499629447,11.449036451291933,100.00000000000001,1.9011485216333091e-16,0.578058073725157,0.32960128642276376,0.6830077503058144,0.6638569171501902,1.3468646674560047,7.271995218670812,50.463647162960456,4.240101652133287e+21,1.2332467231186799e+19,1.0104974200747123,2.6356844643062907,3.097179649182192e-05,0.026823522108620594,3.195132556022914,0.0,0.0,3.195132556022914
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,7.33571673864993e-19,4.2934800659537927e-19,4.895151025154585e-105,1.2821582109204226e-19,1381.203599486108,5524.814397944432,9.036573938600274e+25,2.603952186961248,40.68922268941403,42.83343565803867,13.873389465586063,100.0,0.0,0.47243497029475784,0.49733102687146324,0.6782989667756567,2.735314387264262,3.413613354039918,10.002250234734374,98.7448168482985,1.618226838936827e+21,6.782279990384184e+18,1.0005372189283912,1.580521037851056,0.00011673847160323389,0.1259150020445771,6.187084904533944,0.0,0.0,6.187084904533944
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1700.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,4.8167323632717555e-18,3.532824850314724e-18,3.946714695915007e-104,1.2821582109204226e-19,210.3525294760525,841.41011790421,9.036573938600274e+25,0.5716297755759403,21.630435601094014,61.51330793654667,16.284626686783383,100.0,0.0,0.2583806861872895,0.7347910604949212,0.4613201466327175,6.008683936589391,6.470004083222109,14.287884345790317,179.9503590773093,3.775809142412219e+20,2.4616856735611633e+18,1.000315149503405,1.9102643536579869,0.0003021696256975014,0.35998073668073705,14.122345735655154,0.0,0.0,14.122345735655154
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1800.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,3.042955372416583e-17,2.3000292344816836e-17,3.978758947397585e-103,1.2821582109204226e-19,33.296966679426816,133.18786671770727,9.036573938600274e+25,0.11453077129416019,6.525097957936012,75.7780285835477,17.582342687222127,99.99999999999999,0.0,0.07917111661125041,0.9194392446265179,0.17015826243500193,10.618662252028345,10.788820514463348,18.189326379099956,370.47110158446026,6.750168058179925e+19,4.985608682393147e+17,1.000207324695363,2.829550476843498,0.0007862126401913592,0.85399329585957,0.0,0.0,0.0,0.0
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2000.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,7.31342189768822e-16,5.557410539509728e-16,5.4060721867612494e-101,1.2821582109204226e-19,1.385414174920847,5.541656699683388,9.036573938600274e+25,0.005219648403794279,0.2948612017499966,81.55308478618338,18.146834363662833,100.0,0.0,0.0036023188530059543,0.9963339127103891,0.00921309325856003,20.345530991285187,20.354744084543746,20.969078116242947,1831.6704188592657,2.385496838066894e+18,7903845174931832.0,1.0001988802388957,8.514603412750914,0.004657478354050848,2.729817894549931,0.0,1.8081952876757297,3.527331709909917,5.335526997585647
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2200.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,9.901183863882954e-15,7.52543768382339e-15,7.55565243133933e-99,1.2821582109204226e-19,0.1023323928080279,0.4093295712321116,9.036573938600274e+25,0.0003864529495506145,0.021275845671432363,81.80602791663709,18.172309784741955,100.00000000000003,1.9011485216333091e-16,0.0002600078972712485,0.9997352693377511,0.0007538198545096695,27.86603212813136,27.866785947985868,22.4488202947202,7913.550145885648,1.590737035766751e+17,134237065012607.92,1.0002121241374897,29.386202098558492,0.03101740466361647,5.336644990391747,0.0,1.7408089933655964,3.5410152054124198,5.281824198778017
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1400.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,1.720711724456542e-19,2.56984711400453e-21,2.9449198733515696e-106,1.2821582109204226e-19,5888.3299394230835,23553.319757692334,2.628821509410849e+26,2.8773317523193973,73.1037467436002,10.550648584473882,13.468272919606513,99.99999999999997,0.0,0.8448201510606874,0.12192809435863516,2.8741938900198396,0.949595211641833,3.8237891016616725,7.485596265487696,58.32384205076192,1.6358679851890303e+22,1.1426455463237511e+19,1.0095353342418258,1.9730729695177143,3.097179649182192e-05,0.03768853797727899,0.10654798200358098,0.0,0.0,0.10654798200358098
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,7.33571673864993e-19,4.2934800659537927e-19,4.895151025154585e-105,1.2821582109204226e-19,1381.203599486108,5524.814397944432,2.628821509410849e+26,0.9301659549212026,66.28818956109488,15.424088182214595,17.357556301769325,100.0,1.3070396086229696e-16,0.8021082944152347,0.18663640003840803,3.3002063944479936,4.038878092640116,7.33908448708811,10.495157658090186,126.67865880588629,6.815309630932288e+21,4.743094368922165e+18,1.0004705490425834,1.3835369297595335,0.00011673847160323389,0.19778427401323562,0.6096289055859869,0.0,0.0,0.6096289055859869
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1700.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,4.8167323632717555e-18,3.532824850314724e-18,3.946714695915007e-104,1.2821582109204226e-19,210.3525294760525,841.41011790421,2.628821509410849e+26,0.21844294572360107,52.69317291673885,23.331879871106704,23.75650426643086,100.00000000000003,1.3070396086229696e-16,0.6911169590239372,0.3060179710625983,3.5500624902187723,9.499107280759219,13.049169770977992,16.20540234789863,293.6462904309047,1.9914432460655944e+21,8.956134903949348e+17,1.000284793146938,2.1210296616060913,0.0003021696256975014,0.6691558680153948,2.8463799867648008,0.0,0.0,2.8463799867648008
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1800.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,3.042955372416583e-17,2.3000292344816836e-17,3.978758947397585e-103,1.2821582109204226e-19,33.296966679426816,133.18786671770727,2.628821509410849e+26,0.051758659367129416,34.74834909520625,34.30602643313941,30.893865812287203,100.0,0.0,0.5028258273110663,0.4964251992443109,3.3186836743536485,16.375804880875314,19.69448855522896,24.866028280170177,805.1252177036512,5.152974340720887e+20,7.490723334240643e+16,1.000205552004009,5.207341706799678,0.0007862126401913592,1.6741599655662818,0.0,0.0,0.0,0.0
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2000.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,7.31342189768822e-16,5.557410539509728e-16,5.4060721867612494e-101,1.2821582109204226e-19,1.385414174920847,5.541656699683388,2.628821509410849e+26,0.0034463098174905217,6.629535775111687,54.55809159819081,38.808926316880004,100.0,0.0,0.1083415500999861,0.8916021294334808,1.0785332102573657,26.052879461548788,27.131412671806153,42.92325688285278,5140.324363570694,3.2558689106590007e+19,457926257822924.2,1.0000672211887556,36.92566046772147,0.004657478354050848,4.544152358386213,0.0,16.355479551803235,23.327418340820838,39.68289789262407
0.25,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2200.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,9.901183863882954e-15,7.52543768382339e-15,7.55565243133933e-99,1.2821582109204226e-19,0.1023323928080279,0.4093295712321116,2.628821509410849e+26,0.00027772931732811864,0.6231163347608168,59.45474187047886,39.92186406544301,100.00000000000003,0.0,0.010371765452902472,0.9896236117452578,0.12761962154051298,32.29757226399059,32.4251918855311,50.73243565308465,22788.84277218416,2.3333060303922324e+18,6515000495936.476,1.0000538334411242,157.360191746792,0.03101740466361647,7.723283485754016,0.0,12.634653754942878,24.888501832760806,37.523155587703684
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1400.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,1.720711724456542e-19,2.56984711400453e-21,2.9449198733515696e-106,1.2821582109204226e-19,5888.3299394230835,11776.659878846167,9.036573938600274e+25,7.878667242214178,43.72868553983524,28.06134886227804,20.33129835567254,100.0,0.0,0.5488816139499468,0.3522255074214085,0.5766914914480953,0.6458024884139575,1.2224939798620529,7.0574256178953325,49.91963945873625,3.916661200863814e+21,1.2393580293180117e+19,1.0083345863605413,2.561594312155113,2.963501696603366e-05,0.0258680634708283,5.2201021992333265,0.0,0.0,5.2201021992333265
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,7.33571673864993e-19,4.2934800659537927e-19,4.895151025154585e-105,1.2821582109204226e-19,1381.203599486108,2762.407198972216,9.036573938600274e+25,2.4749110797220886,32.80450940832128,40.65425757102516,24.066321940931473,100.00000000000001,0.0,0.4320152828999377,0.535391655062466,0.533882970582763,2.622791178989429,3.1566741495721917,9.56081015892907,96.33399052743862,1.458388981317507e+21,7.003843811952986e+18,1.0004005791287043,1.5241563733130845,0.00010873509268558257,0.11878984903626444,9.07836608810009,0.0,0.0,9.07836608810009
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1700.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,4.8167323632717555e-18,3.532824850314724e-18,3.946714695915007e-104,1.2821582109204226e-19,210.3525294760525,420.705058952105,9.036573938600274e+25,0.5272241651989263,15.660834489403955,56.783528283940356,27.028413061456774,100.00000000000001,0.0,0.21461551196075165,0.7781594270625293,0.3186061820823165,5.692578068853594,6.01118425093591,13.257145453081213,171.047720646819,3.264491373818058e+20,2.715616959972766e+18,1.0002181281351765,1.7653578031409451,0.0002728563605492057,0.3307476937563604,17.27187358469995,0.0,0.0,17.27187358469995
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1800.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,3.042955372416583e-17,2.3000292344816836e-17,3.978758947397585e-103,1.2821582109204226e-19,33.296966679426816,66.59393335885363,9.036573938600274e+25,0.10157339338332799,4.175357518643602,67.36506180903504,28.358007278938047,100.00000000000001,1.9011485216333091e-16,0.05828086796664566,0.9403013407418865,0.10076989476698547,10.085035057839068,10.185804952606054,16.267301566180826,341.7244441214695,5.588504981751078e+19,6.033379812036882e+17,1.0001563015991128,2.433965702167528,0.0007143994361647769,0.7792380737954372,0.0,0.0,0.0,0.0
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2000.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,7.31342189768822e-16,5.557410539509728e-16,5.4060721867612494e-101,1.2821582109204226e-19,1.385414174920847,2.770828349841694,9.036573938600274e+25,0.004528030324363683,0.1728188389775501,70.88554603136912,28.93710709932898,100.00000000000001,0.0,0.0024319139275558285,0.9975043674404052,0.004890832552809628,19.889501586830132,19.894392419382942,18.347700477958146,1688.5769899633801,1.8903806342583588e+18,9862174673005484.0,1.0001675571251234,6.954619998823895,0.004422093499677892,2.600849891541429,0.0,5.815068902052175,11.693573393566238,17.508642295618415
